Stops,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
Bagbazar,,1,1,,3,,,,,,,,,
"Shyambazar
",,,,2,2,,2,1,,,,,,
Khanna Cinema,,,,,,,1,2,,,,,,
HUDCO,,,,,,2,,,6,2,2,,,
Beliaghata XING,,,,,,,,,2,2,5,,,
Metroplitan,,,,,,,,,,,1,3,,1
Science City,,,,,,,,,,,,,2,2
VIP Bazaar,,,,,,,,,,,,3,,
Ruby hospital,,,,,,,,,,,,,6,
Kalikapur,,,,,,,,,,,,,,2
Ajaynagar,,,,,,,,,,,,,,3
Peerless,,,,,,,,,,,,,,2
Patuli P.S.,,,,,,,,,,,,,,1
Garia ,,,,,,,,,,,,,,
