Travel Time,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
1,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
2,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
3,0,3.62,5.61,13.17,8.36,6.08,3.49,3.97,3.34,1.95,3.77,1.72,3.41,7.14
4,0,3.62,5.61,13.17,8.36,6.08,3.49,3.97,3.34,1.95,3.77,1.72,3.41,7.14
5,0,3.62,5.61,13.17,8.36,6.08,3.49,3.97,3.34,1.95,3.77,1.72,3.41,7.14
6,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
7,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
8,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
9,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
10,0,3.19,3.67,11.25,6.41,4.97,3.2,3.65,3.05,1.97,3.42,1.45,3.24,7.37
11,0,3.24,5.17,12.06,10.14,6.94,3.11,4.02,3.79,3.44,4.19,1.4,3.72,7.8
12,0,3.24,5.17,12.06,10.14,6.94,3.11,4.02,3.79,3.44,4.19,1.4,3.72,7.8
13,0,3.24,5.17,12.06,10.14,6.94,3.11,4.02,3.79,3.44,4.19,1.4,3.72,7.8
14,0,3.23,6.81,12.77,8.42,7.18,2.79,3.84,3.69,2.83,3.51,1.3,4.42,7.52
15,0,3.23,6.81,12.77,8.42,7.18,2.79,3.84,3.69,2.83,3.51,1.3,4.42,7.52
16,0,3.23,6.81,12.77,8.42,7.18,2.79,3.84,3.69,2.83,3.51,1.3,4.42,7.52
