Stops,Bagbazar,"Shyambazar
",Khanna Cinema,HUDCO,Beliaghata XING,Metroplitan,Science City,VIP Bazaar,Ruby hospital,Kalikapur,Ajaynagar,Peerless,Patuli P.S.,Garia 
Bagbazar,,7,7,9,9,9,10,11,12,12,13,13,14,14
"Shyambazar
",,,7,7,9,10,10,11,12,12,12,13,13,14
Khanna Cinema,,,,7,9,9,10,10,11,12,12,12,13,13
HUDCO,,,,,7,9,9,10,11,11,11,12,12,13
Beliaghata XING,,,,,,7,9,9,10,11,11,11,11,12
Metroplitan,,,,,,,7,7,9,10,10,11,11,12
Science City,,,,,,,,7,7,9,10,10,11,11
VIP Bazaar,,,,,,,,,7,7,9,9,10,11
Ruby hospital,,,,,,,,,,7,7,9,10,10
Kalikapur,,,,,,,,,,,7,7,9,10
Ajaynagar,,,,,,,,,,,,7,7,9
Peerless,,,,,,,,,,,,,7,7
Patuli P.S.,,,,,,,,,,,,,,7
Garia ,,,,,,,,,,,,,,
